rank,name,zip,employees,revenues,latitude,longitude,profit
15,CARDINAL HEALTH,43017,37300,121546,40.10899,-83.12077,1427
167,AMERICAN ELECTRIC POWER,43215,17634,16380,39.96514,-83.00596,610.9
68,NATIONWIDE,43215,34320,40074,39.96857,-83.00345,334.3
220,L BRANDS,43230,59100,12574,40.05448,-82.89613,1158.1
331,VERITIV,30328,8700,8327,33.93467,-84.3547,21
410,ASBURY AUTOMOTIVE GROUP,30097,7900,6528,34.00499,-84.09278,167.2
145,SOUTHERN,30308,32015,19896,33.76434,-84.38826,2448
303,SUNTRUST BANKS,30308,24375,9161,33.76286,-84.38652,1878
64,COCA-COLA,30313,100300,41863,33.77128,-84.39629,6527
437,INTERCONTINENTAL EXCHANGE,30328,5631,5958,33.90902,-84.43108,1422
208,NEWELL BRANDS,7030,53400,13264,40.738661,-74.027717,527.8
46,UPS,30328,335520,60906,33.94199,-84.36142,3431
242,FIRST DATA,30342,24000,11584,33.90543,-84.36033,420
71,DELTA AIR LINES,30354,83756,39639,33.6564,-84.42315,4373
174,CARMAX,23238,22429,15833,37.63877,-77.67067,623.4
311,MOHAWK INDUSTRIES,30701,37800,8959,34.47421,-84.93784,930.4
323,O'REILLY AUTOMOTIVE,65802,58397,8593,37.20792,-93.24937,1037.7
230,VF,27408,69000,12207,36.12171,-79.79907,1074.1
190,WESTROCK,30071,39000,14706,33.93671,-84.22019,-396.3
370,AGCO,30096,19795,7411,34.01785,-84.16473,160.1
409,NCR,30308,33500,6543,33.779256,-84.389521,270
258,UNUM GROUP,37402,9400,11047,35.04977,-85.30727,931.4
411,AMERICAN FINANCIAL GROUP,45202,7600,6498,39.10012,-84.50718,649
18,KROGER,45202,443000,115337,39.10673,-84.51422,1975
110,MACY'S,45202,148300,25778,39.10325,-84.51413,619
483,WESTERN & SOUTHERN FINANCIAL GROUP,45202,2178,5398,39.10113,-84.50607,241.2
389,FIFTH THIRD BANCORP,45263,17844,6889,39.10115,-84.51246,1564
358,EVERSOURCE ENERGY,1104,7762,7639,42.151263,-72.547416,942.3
77,MASSACHUSETTS MUTUAL LIFE INSURANCE,1111,11737,37788,42.11747,-72.5481,1273.5
51,MARATHON PETROLEUM,45840,44460,55858,41.03602,-83.64974,1174
288,OWENS & MINOR,23116,7900,9723,37.64496,-77.40796,108.8
400,CALPINE,77002,2372,6716,29.7614,-95.36438,92
362,CENTERPOINT ENERGY,77002,7727,7528,29.75714,-95.368,432
122,ENTERPRISE PRODUCTS PARTNERS,77002,6800,23022,29.75765,-95.36883,2513.1
356,EOG RESOURCES,77002,2650,7651,29.75867,-95.37054,-1096.7
215,KINDER MORGAN,77002,11121,13058,29.75788,-95.36738,708
302,PACIFIC LIFE,92660,3628,9169,33.619382,-117.87727,824
141,PLAINS GP HOLDINGS,77002,5100,20182,29.75729,-95.37175,94
402,TARGA RESOURCES,77002,1970,6691,29.75849,-95.3684,-187.3
201,WASTE MANAGEMENT,77002,41200,13609,29.75579,-95.36391,1182
285,BAKER HUGHES,77019,33000,9841,29.76129,-95.3959,-2738
261,GROUP 1 AUTOMOTIVE,77024,13500,10888,29.77744,-95.54393,147.1
173,HALLIBURTON,77032,50000,15887,29.9364,-95.34107,-5763
375,NATIONAL OILWELL VARCO,77036,36384,7251,29.69082,-95.5543,-2412
34,PHILLIPS 66,77042,14800,72396,29.740913,-95.560908,1555
488,APACHE,77056,3727,5354,29.74464,-95.46266,-1405
355,QUANTA SERVICES,77056,28100,7651,29.73599,-95.46125,198.4
57,SYSCO,77077,51900,50367,29.75826,-95.62004,949.6
115,CONOCOPHILLIPS,77079,13300,24360,29.78758,-95.61758,-3615
70,CIGNA,6002,41000,39668,41.81703,-72.73874,1867
250,STANLEY BLACK & DECKER,6053,54023,11407,41.69301,-72.80698,965.3
50,UNITED TECHNOLOGIES,6032,201600,57244,41.708447,-72.803224,5055
153,HARTFORD FINANCIAL SERVICES GROUP,6155,16900,18300,41.77241,-72.68879,896
43,AETNA,6156,49500,63155,41.76776,-72.69221,2271
6,UNITEDHEALTH GROUP,55343,230000,184840,44.89756,-93.40318,7017
158,SUPERVALU,55344,38000,17529,44.875,-93.41186,178
212,C.H. ROBINSON WORLDWIDE,55347,14125,13144,44.82112,-93.46055,513.4
256,XCEL ENERGY,55401,11476,11107,44.97975,-93.27008,1123.4
125,U.S. BANCORP,55402,71191,22744,44.97559,-93.27387,5888
38,TARGET,55403,323000,69495,44.97396,-93.27563,2737
316,THRIVENT FINANCIAL FOR LUTHERANS,55415,3282,8777,44.97476,-93.26568,587.8
72,BEST BUY,55423,125000,39403,44.86392,-93.30542,1228
165,GENERAL MILLS,55426,39000,16563,44.977,-93.39559,1697.4
377,MOSAIC,55441,8700,7163,45.01507,-93.45487,297.8
460,MARKEL,23060,10900,5612,37.66219,-77.57726,455.7
171,PERFORMANCE FOOD GROUP,23238,13000,16105,37.60589,-77.64471,68.3
148,ALTRIA GROUP,23230,8300,19337,37.60024,-77.51729,14239
329,GENWORTH FINANCIAL,23230,3400,8369,37.60245,-77.51499,-277
195,WELLCARE HEALTH PLANS,33634,7400,14237,28.03336,-82.54968,242.1
69,MERCK,7033,68000,39807,40.677334,-74.272687,3920
40,LOWE'S,28117,240000,65017,35.54119,-80.85421,3093
419,CMS ENERGY,49201,7750,6399,42.2466,-84.40253,551
318,LITHIA MOTORS,97501,11170,8678,42.32845,-122.87228,197.1
436,REGIONS FINANCIAL,35203,22166,5967,33.51806,-86.80907,1163
53,HUMANA,40202,51600,54379,38.25647,-85.75889,614
376,KINDRED HEALTHCARE,40202,76650,7227,38.2466,-85.75849,-664.2
422,YUM BRANDS,40213,90000,6366,38.19863,-85.6949,1619
486,SEABOARD,66202,11781,5379,39.00816,-94.69096,312
252,STRYKER,49002,33000,11325,42.24191,-85.55651,1647
341,WEYERHAEUSER,98104,10400,7902,47.600473,-122.332633,1027
317,EXPEDIA,98004,20075,8774,47.6134,-122.19701,281.8
164,PACCAR,98004,23000,17033,47.61655,-122.19966,521.7
16,COSTCO,98027,172000,118719,47.54779,-122.05035,2350
28,MICROSOFT,98052,114000,85320,47.64005,-122.1298,16798
188,NORDSTROM,98101,72500,14757,47.61242,-122.33591,354
429,EXPEDITORS INTERNATIONAL OF WASHINGTON,98104,16000,6098,47.60578,-122.33459,430.8
12,AMAZON.COM,98109,341400,135987,47.62226,-122.33676,2371
131,STARBUCKS,98134,254000,21316,47.58181,-122.33534,2817.7
438,ALASKA AIR GROUP,98188,19112,5931,47.42906,-122.29366,814
500,ABM INDUSTRIES,10176,110000,5145,40.75559,-73.97913,57.2
352,ZIMMER BIOMET HOLDINGS,46580,18500,7684,41.23959,-85.85409,305.9
295,HORMEL FOODS,55912,21100,9523,43.67467,-92.97162,890.1
281,BAXTER INTERNATIONAL,60015,48000,10163,42.1599,-87.88061,4965
