block,avg_lat,avg_lng
16TH ST 1400,37.7662002766667,-122.401134183333
43RD AVE 2300,37.7429493219048,-122.501479551667
NATICK ST 0,37.7342255818182,-122.431923993636
26TH ST 3100,37.7493684895833,-122.412862190417
GEARY BLVD 6800,37.7795386890909,-122.492735602727
DELTA ST 100,37.71696779,-122.408051791304
MARIPOSA ST 400,37.76421445,-122.38836132
22ND ST 2700,37.7560238303846,-122.409357786346
18TH AVE 2300,37.7441056142308,-122.474688350385
SCOTT ST 1200,37.7813282991667,-122.43764521
SHAFTER AVE 1400,37.7294554067347,-122.387940955102
LINCOLN WAY 2200,37.7649842646154,-122.482062705385
GEORGE CT 0,37.7310971355172,-122.382806929655
21ST ST 4100,37.75594379,-122.437237694615
PRAGUE ST 300,37.7166405963636,-122.428966752424
22ND ST 4000,37.7543117968182,-122.437121036818
ALVARADO ST 500,37.7537265069565,-122.433255915435
OAKDALE AVE 2600,37.74220539,-122.40319326
MARIPOSA ST 2900,37.7627037,-122.41249338
VAN NESS AVE 900,37.7843084175,-122.42106221875
HEAD ST 600,37.71872864,-122.464439642895
ARLETA AVE 100,37.7135806271053,-122.405761172895
15TH AVE 2300,37.7442204264103,-122.471426766154
GILLETTE AVE 0,37.7116113736364,-122.396460194545
DORADO TER 300,37.7265622345454,-122.461762403636
MARIPOSA ST 2600,37.76261092,-122.4097192
RODGERS ST 0,37.775084966,-122.4089407628
RIVERA ST 700,37.7468893533333,-122.474423251111
DOLORES ST 700,37.7573064697674,-122.42567144093
QUINTARA ST 2000,37.7481495125,-122.487383815
STEINER ST 400,37.7733556342308,-122.432512144231
SHIELDS ST 200,37.717914004375,-122.46489233875
BACON ST 1400,37.724102503,-122.416573133
BOSWORTH ST 1000,37.73405014,-122.43804094
44TH AVE 1500,37.7577734536957,-122.50357333
TREAT AVE 800,37.7565982463158,-122.413418757105
UNION ST 800,37.7998573185,-122.413335615375
VALLEY ST 400,37.7441630297059,-122.432320682941
14TH AVE 600,37.7757066332258,-122.47277105129
SHIELDS ST 700,37.7179252321429,-122.469385343571
26TH AVE 1300,37.762286717963,-122.484600911667
PAUL AVE 200,37.7232021933333,-122.397946395
HARRISON ST 500,37.785368764,-122.393391654
MAYWOOD DR 200,37.7322239589474,-122.461820933684
MISSION ST 1000,37.7801671478788,-122.409630912727
DE HARO ST 700,37.7604062696154,-122.401197034231
BLUXOME ST 0,37.7766270766667,-122.396877303333
ULLOA ST 100,37.7440994190909,-122.455231742273
25TH AVE 1800,37.7529270073809,-122.48281473619
LINDEN ST 400,37.7761053532,-122.42533551
EUCALYPTUS DR 300,37.731054465,-122.476401625
CLEMENT ST 2500,37.781956352,-122.48636352
JACK BALESTRERI WAY 600,37.76000839,-122.40034355
OFARRELL ST 400,37.7858070868571,-122.412079523143
WALLACE AVE 1300,37.72488740625,-122.38665695
CORBETT AVE 900,37.7516831316667,-122.443910016944
STEVENSON ST 0,37.7896111414286,-122.399634418571
COWLES ST 600,37.80179056,-122.467753275
HUDSON AVE 1100,37.73230937,-122.38217756
RICHARDS CIR 0,37.73566781,-122.386110773333
DORADO TER 600,37.72562677,-122.46163132
VISITACION AVE 600,37.7107440990909,-122.405758270909
EVANS AVE 2100,37.74871024,-122.39742934
SILLIMAN ST 1100,37.728229132,-122.416409633
03RD ST 900,37.77632716,-122.39179682
JERROLD AVE 1500,37.738232693871,-122.388255551935
JUDAH ST 2100,37.7613047632258,-122.485009252903
17TH AVE 300,37.7814494873077,-122.476234880769
42ND AVE 2300,37.7427817953658,-122.500447570976
MUNICH ST 300,37.720070584359,-122.427400437949
ORIZABA AVE 0,37.7098720428571,-122.462594244286
GREEN ST 0,37.8004984,-122.400764586
CAPP ST 600,37.7563968471186,-122.417746044068
23RD ST 4400,37.7524494307143,-122.441703181071
LOMBARD ST 2600,37.798528725,-122.445187761818
FRANKLIN ST 1600,37.7894777033333,-122.424149946667
CURTIS ST 100,37.7122666972727,-122.439346509091
GAVEN ST 400,37.7318134365625,-122.414040231563
THORNTON AVE 300,37.7312641429032,-122.395872445161
GILMAN AVE 1300,37.7218649262162,-122.394497835135
CESAR CHAVEZ ST 800,37.7502518775,-122.38552419
MADRONE AVE 100,37.74087084,-122.467925468095
26TH ST 3600,37.7488209995652,-122.421919687826
SANTA MARINA ST 100,37.7395496609091,-122.420601051364
DARTMOUTH ST 100,37.72850198,-122.412716121923
LEAVENWORTH ST 1000,37.7906556525,-122.415695915625
CESAR CHAVEZ ST 3600,37.7479216766667,-122.421974145
HAYES ST 2200,37.7728160181818,-122.453428908182
POST ST 500,37.7878330838462,-122.411076925385
VILLA TER 0,37.7592529764286,-122.446830655714
BYXBEE ST 200,37.7187923112121,-122.469851042424
29TH AVE 2300,37.7434368389796,-122.486444216122
IRONWOOD WAY 0,37.7365274838462,-122.379983414615
HARRISON ST 2900,37.7502295627778,-122.411387506389
BEACON ST 200,37.7403177122222,-122.432154876667
BEMIS ST 0,37.7377996229412,-122.429245548235
COLERIDGE ST 300,37.7413150141304,-122.421289212174
CORAL CT 100,37.728084,-122.371736132857
BUCHANAN ST 1500,37.7840845457143,-122.429970148571
ALEMANY BLVD 1300,37.7296817994444,-122.433601133333
BALBOA ST 3300,37.7759046327273,-122.494540345455
CAMBRIDGE ST 600,37.7234252140625,-122.417162797188
PACIFIC AVE 2800,37.792347455,-122.442126860714
STOCKTON ST 2000,37.80467790625,-122.409954885625
SUSSEX ST 400,37.73730894,-122.43944176
POST ST 1000,37.786940354,-122.4190977588
CATALINA ST 100,37.7362704918182,-122.379761812727
PENNSYLVANIA AVE 800,37.75583407,-122.393624506667
GOUGH ST 200,37.7754909166667,-122.42283068
LINCOLN WAY 200,37.765930177,-122.460707646
45TH AVE 2700,37.73586131,-122.50279448
